District,Year ,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),MIN_TEMP,MAX_TEMP,AVG_TEMP,HUMIDITY,PRECIPITATION,WIND_SPEED
Gondia,2014 - 2015,"1,74,700.00","3,40,600.00",1.95,15.874,35.386,24.726,0,0,0
Gondia,2015 - 2016,"1,72,100.00","2,63,600.00",1.53,17.034,34.088,25.05,0,0,0
Gondia,2016 - 2017,"1,73,200.00","4,23,300.00",2.44,16.004,32.936,23.786,0,0,0
Gondia,2017 - 2018,"1,38,500.00","2,18,500.00",1.58,16.398,33.728,24.38,0,0,0
Gondia,2018 - 2019,"1,28,536.00","3,21,010.00",2.5,15.638,33.494,24.29,0,0,0
Gondia,2019 - 2020,"1,51,992.00","3,02,721.00",1.99,16.496,32.786,24.622,0,0,0
Gondia,2020 - 2021,"1,52,861.58","3,00,671.33",1.97,15.862,31.92,23.81,0,0,0
Gondia,2021 - 2022,"1,53,446.30","3,10,499.37",2.02,15.526,32.57,23.926,0,0,0
Gondia,2022 - 2023,"1,90,841.17","4,89,692.62",2.57,15.798,33.214,24.112,0,0,0
Hingoli,2000 - 2001,"14,700.00","8,900.00",0.61,16.846,34.428,25.238,12.888,2.092,3.162
Hingoli,2001 - 2002,"14,500.00","9,700.00",0.67,16.136,34.34,24.48,13.758,1.992,3.56
Hingoli,2002 - 2003,"15,900.00","9,300.00",0.58,17.214,35.776,25.758,13.118,2.1,3.254
Hingoli,2003 - 2004,"9,500.00","4,800.00",0.51,16.55,34.364,24.682,14.316,3.732,3.346
Hingoli,2004 - 2005,"7,800.00","1,800.00",0.23,16.718,35.03,25.196,13.372,2.384,3.408
Hingoli,2005 - 2006,"4,500.00","1,500.00",0.33,15.684,32.95,23.822,14.338,4.522,3.41
Hingoli,2006 - 2007,"4,300.00","2,000.00",0.47,17.132,32.89,24.548,14.812,2.328,3.144
Hingoli,2007 - 2008,"4,100.00","1,900.00",0.46,16.442,33.704,24.23,14.068,1.84,3.224
Hingoli,2008 - 2009,500,300,0.6,16.432,34.534,24.784,14.24,2.258,2.884
Hingoli,2009 - 2010,"1,200.00",400,0.33,16.384,34.35,25.246,14.264,2.53,3.462
Hingoli,2010 - 2011,"1,100.00",700,0.64,17.328,32.712,24.672,15.856,3.858,3.218
Hingoli,2011 - 2012,600,200,0.33,17.278,34.642,25.022,13.156,1.924,3.392
Hingoli,2012 - 2013,600,200,0.33,16.036,34.738,24.978,14.158,2.824,3.408
Jalgaon,1999 - 2000,"1,800.00","1,700.00",0.94,0,0,0,0,0,0
Jalgaon,2000 - 2001,"1,700.00","2,100.00",1.24,0,0,0,0,0,0
Jalgaon,2001 - 2002,"1,200.00",700,0.58,0,0,0,0,0,0
Jalgaon,2002 - 2003,900,800,0.89,0,0,0,0,0,0
Jalgaon,2003 - 2004,900,"1,100.00",1.22,0,0,0,0,0,0
Jalgaon,2004 - 2005,400,400,1,0,0,0,0,0,0
Jalgaon,2005 - 2006,200,300,1.5,0,0,0,0,0,0
Jalgaon,2006 - 2007,100,100,1,0,0,0,0,0,0
Jalgaon,2007 - 2008,100,100,1,0,0,0,0,0,0
Jalgaon,2009 - 2010,200,100,0.5,0,0,0,0,0,0
Jalgaon,2011 - 2012,200,300,1.5,0,0,0,0,0,0
Jalna,1999 - 2000,"1,300.00",700,0.54,16.654,34.604,24.95,12.552,1.764,4.02
Jalna,2000 - 2001,"1,200.00",700,0.58,17.65,34.508,25.642,12.174,2.352,3.558
Jalna,2001 - 2002,600,400,0.67,17.238,34.598,25.278,13.29,2.404,4.006
Jalna,2002 - 2003,600,100,0.17,17.938,36.164,26.358,12.35,2.31,3.79
Jalna,2003 - 2004,700,300,0.43,17.532,35.226,25.592,13.446,3.242,3.878
Jalna,2004 - 2005,500,200,0.4,17.378,34.518,25.49,12.698,2.508,3.824
Jalna,2019 - 2020,11,2,0.18,18.456,34.058,25.906,14.938,2.666,3.656
Kolhapur,1999 - 2000,"1,03,200.00","2,61,900.00",2.54,16.788,31.578,23.782,13.996,6.93,4.078
Kolhapur,2000 - 2001,"1,06,300.00","2,32,800.00",2.19,17.21,31.33,23.72,13.782,5.216,3.884
Kolhapur,2001 - 2002,"1,05,900.00","2,89,400.00",2.73,17.548,31.642,24.032,13.95,4.096,4.434
Kolhapur,2002 - 2003,"1,05,600.00","2,33,200.00",2.21,18.43,33.196,24.626,13.978,4.428,3.806
Kolhapur,2003 - 2004,"1,06,200.00","2,46,100.00",2.32,17.822,33.538,24.808,13.982,4.528,3.824
Kolhapur,2004 - 2005,"1,10,500.00","2,79,100.00",2.53,17.458,31.744,23.992,13.654,4.208,4.134
Kolhapur,2005 - 2006,"1,08,300.00","2,46,100.00",2.27,17.052,30.922,23.412,14.574,7.344,3.994
Kolhapur,2006 - 2007,"1,09,800.00","2,84,800.00",2.59,18.144,30.146,23.736,15.142,6.076,4.166
Kolhapur,2007 - 2008,"1,11,900.00","3,36,200.00",3,17.122,31.698,23.766,14.768,7.286,3.936
Kolhapur,2008 - 2009,"1,13,800.00","2,85,200.00",2.51,17.492,31.904,24.126,14.272,3.906,4.096
Kolhapur,2009 - 2010,"1,12,700.00","2,91,800.00",2.59,17.494,30.58,23.91,15.28,7.324,4.21
Kolhapur,2010 - 2011,"1,11,500.00","3,21,600.00",2.88,17.774,30.876,23.914,15.838,7.748,3.732
Kolhapur,2011 - 2012,"1,04,300.00","2,78,900.00",2.67,17.612,31.564,24.238,14.39,5.262,4.336
Kolhapur,2012 - 2013,"1,07,800.00","2,82,200.00",2.62,17.17,32.63,24.364,14.312,4.906,3.846
Kolhapur,2013 - 2014,"1,08,800.00","3,39,600.00",3.12,17.482,30.792,23.624,14.588,6.412,4.344
Kolhapur,2014 - 2015,"1,10,900.00","3,35,200.00",3.02,17.44,32.666,24.272,14.716,5.76,3.956
Kolhapur,2015 - 2016,"1,11,500.00","2,73,300.00",2.45,18.582,33.602,25.242,14.688,4.3,3.848
